,Duration,Number of Lanes,Number of Vehicles,Vehicles Density,Reward Speed Range,Scaling Factor,Algorithm,Average Reward,Reward Standard Deviation,Observation Variance,Action Variance,Number of Transitions Observed,Crash Rate,Average Collision Reward,Average Right Lane Reward,Average High Speed Reward,Average On Road Reward,Average Episode Length,Reward Sparsity,Transition Rewards Variance,Observation Type,Maximum Range (Lidar),Horizon (TimeToCollision),Initial Lane Id,Ego Spacing
32,40,4,50,1.0,"[20, 30]",5.5,PPO,0.7619256184995791,0.08639816935077924,8.56974086769259,0.007464643667165929,3780,0.00291005291005291,0.00291005291005291,0.7193121693121693,0.18466815932051128,1.0,40,0.9992063492063492,0.007464643667165929,Kinematics,,,,2.5
33,40,4,50,3.0,"[20, 30]",5.5,PPO,0.598076992258532,0.29166647510910326,18.258117370912508,0.08506933270256915,488,0.2028688524590164,0.2028688524590164,0.44808743169398907,0.13793899419353836,1.0,40,0.9241803278688525,0.08506933270256915,Kinematics,,,,2.0
34,40,5,50,1.0,"[20, 30]",5.5,PPO,0.7793569989640645,0.10607910553113656,11.694469500646486,0.011252776630286006,3581,0.005305780508237923,0.005305780508237923,0.7337335939681653,0.2524197988937952,1.0,40,0.9997207483943032,0.011252776630286006,Kinematics,,,,2.0
35,40,6,50,1.0,"[20, 30]",5.5,PPO,0.7849196313859975,0.12490489402709698,14.857039507446787,0.015601232551920327,3284,0.0097442143727162,0.0097442143727162,0.6859926918392205,0.2963109806694762,1.0,40,0.9972594397076736,0.015601232551920327,Kinematics,,,,2.0
36,40,7,50,1.0,"[20, 30]",5.5,PPO,0.7640755442323524,0.1323805332516914,14.091488240278961,0.017524605584002175,2803,0.016054227613271493,0.016054227613271493,0.5113568795338328,0.27757964002104185,1.0,40,0.9939350695683197,0.017524605584002175,Kinematics,,,,2.0
37,40,8,50,1.0,"[20, 30]",5.5,PPO,0.7654125233972461,0.10169712258932992,8.24352688630474,0.010342304742949199,3255,0.009216589861751152,0.009216589861751152,0.6393680052666227,0.23349643607739481,1.0,40,0.9969278033794163,0.010342304742949199,Kinematics,,,,2.0
38,40,4,50,1.0,"[20, 30]",5.5,PPO,0.7599187778799434,0.08434355262541349,8.344514247476228,0.007113834869475894,3767,0.002654632333421821,0.002654632333421821,0.8005486240155739,0.15619484187944885,1.0,40,0.9994690735333156,0.007113834869475894,Kinematics,,,,2.0
39,40,4,50,1.0,"[30, 40]",5.5,PPO,0.7292149727793295,0.02033246930287597,0.5935195644432474,0.0004134093079523937,3939,0.0007616146230007616,0.0007616146230007616,0.9458407379199458,0.0,1.0,40,1.0,0.0004134093079523937,Kinematics,,,,2.0
40,40,4,50,1.0,"[40, 50]",5.5,PPO,0.7262832510918271,0.02762837568762038,1.5527935817042533,0.0007633271431362929,3918,0.001276161306789178,0.001276161306789178,0.9070103794452953,0.0,1.0,40,1.0,0.0007633271431362929,Kinematics,,,,2.0
41,40,4,50,1.0,"[50, 60]",5.5,PPO,0.7291652392371819,0.02860032467469893,1.2044332151544228,0.0008179785714981924,3892,0.0012846865364850976,0.0012846865364850976,0.9503254539225762,0.0,1.0,40,0.9994861253854059,0.0008179785714981924,Kinematics,,,,2.0
42,40,4,50,1.0,"[60, 70]",5.5,PPO,0.7244124206553442,0.0321185814899783,1.5235055250162386,0.0010316032769283766,3886,0.0012866700977869274,0.0012866700977869274,0.8790530108080288,0.0,1.0,40,0.9987133299022131,0.0010316032769283766,Kinematics,,,,2.0
